Title,Stars,Review Text
Asad Jan, 4 stars ,"Excellent place for groceries, top stuff and very reasonable prices"
Jamil Goraya, 3 stars ,Over expensive
Ruttie Jinnah, 4 stars ,A good shopping outlet
Abu Musa, 1 star ,Too expensive
Mahpara Bhat, 5 stars ,"It's a supermart where you get house hold items,  makeup,  grocery, accessories etc"
Sobia Tariq, 2 stars ,"Al Fateh!! Where they put up stuff on sale n then they increase prices fo products on sale after a day loll...
2days back i went and an item was put for sale for 850 next day went to buy n same product was in same sale fo 1150... its how they manipulate it by increasing prices fo d products more sold..."
Sherki Bayte, 5 stars ,All in one
Mudassar Iftikhar, 5 stars ,Small a bit expensive but lot of variety ...
Najam us Saqib, 4 stars ,Nice place for grocery.
Khan engineering and generator Services, 5 stars ,Name of quality
Saqlain Sheikh, 5 stars ,One place for buying different things.
Muhammad Fayyaz, 4 stars ,All utilities can b found at reasonable rates.
Rema Ahmad, 4 stars ,Almost everything under one roof
Samia Sajjad, 5 stars ,Best place to get groceries
fairy tale, 4 stars ,This is a good superstore with huge variety of households.
Shahrukh Talib, 5 stars ,"Not sure about the authenticity of colognes, but you can literally get anything here from all around the world."
Noman Marwat, 5 stars ,"Everything you need is there specially kids toys , home and kitchenware"
Taimur Sheikh, 5 stars ,A great variety of items for moderate price.
Syed Asad Gillani, 5 stars ,Excellent
Muhammad Toufeeq, 5 stars ,You can buy all type of goods on very reasonable price despite living in Islamabad. And it's located in the most expensive commercial building in Islamabad which is Centaurus Mall.
Shahid Altaf, 2 stars ,Not a very good place for returns and exchanges.
Ali Malik, 5 stars ,All in one
Mohsin khan, 3 stars ,Very expensive. Huge variety.
You With Shoaib, 5 stars ,A shopping mall in centaurus for grocery
Campus Store, 3 stars ,Scarce foreign exchange of Pakistan being wasted!
Mir Wajid Ali, 4 stars ,Excellent. Got what I needed
Umair Alam, 4 stars ,Everything at one stop.
Muhammad Chaudhry, 5 stars ,"Excellent place for groceries, cutlery, toys and household items shopping"
Dr Iftikhar Ahmed Soomro, 4 stars ,Most of grocery items electronics much more is present here prices are higher as compared to other cash and carry stores
Nazir Malik, 4 stars ,best place
Jhane.p, 3 stars ,Good. But needs to improve service.
wonder woman, 5 stars ,All items on reasonable price
Mr Khan Official, 5 stars ,For Shopping itmes latest store
Rao Kamraan, 5 stars ,Superb
Zehra Zaidi, 3 stars ,Expensive
Riffat Khan, 5 stars ,Best grocery mall....
Ajmal Idreesi, 4 stars ,Love this place At least I found what I was looking for
syed saad, 4 stars ,Good but pretty expensive as compared to market rates
Rizwan Shah, 4 stars ,A little cramped but variety is good.
Rida Naeem, 2 stars ,Too expensive
Muhammad Azfar, 4 stars ,A great place to purchase premium products from.
Ali Rehan, 4 stars ,Quality but expensive
Ali Moazzam, 5 stars ,The best store with the most variety and highest prices
Faisal Iqbal, 5 stars ,"Large grocery items local n imported too along with crockery, electronic, cosmetics etc"
Siffat Khalil, 5 stars ,Beautiful shopping mall.
faizan ahmed, 5 stars ,Good but expensive
Amir Mehmood Shaikh, 4 stars ,Super store with variety of products available for shopping or grocery
Aziz Awan, 3 stars ,very expensive
hanzla shaukat, 3 stars ,One stop shop
VZ多RAجPOOT, 5 stars ,Loved it
KM Aurangzeb, 4 stars ,A very good shopping mall
Samia Khan, 2 stars ,Only for window shopping
AAMIR BIN MUNIR, 5 stars ,Great store with everything available.
Maryam Jihad, 5 stars ,Good Place for shopping
ZEE WANDERLUST, 4 stars ,Good cash and carry
mohammad idrees khan, 3 stars ,Good departmental store
drshakilabangash bangash, 5 stars ,Best place for your grocery and tasty chocolates
The Mad House, 5 stars ,For the elite
Mirza Ali Bashir Ahmad, 4 stars ,Good for grocery and general shopping
Dr Shoaib Ahmed, 5 stars ,The best store for groceries in town.
Islamabad TV, 2 stars ,Centaurus
samad khattak, 3 stars ,Expensive items
Aziz Abdul, 3 stars ,lovely
Usman Rashid, 5 stars ,A good place to purchase your grocery and cosmetics
Zahid Pervez, 4 stars ,All quality things under one roof.
Ehzaz Ahmad Zahid, 5 stars ,Super market of international standard and with quite a big a variety
Aziz Rahman, 5 stars ,Most of are available....
Tanzil Zaidi, 5 stars ,Thumbs up For genuine products
Mirza Naveed Imdad, 5 stars ,A well sized Store to Shop
Ay R, 5 stars ,Good but a little pricey
Dr Irfan Murtaza, 5 stars ,Good plAce to buy stuff
samra Khan, 5 stars ,Nice.quality of goods are fine.
Mushraf Awan, 5 stars ,One Year
Asim Khan, 3 stars ,Not sure
Immy Bhai, 2 stars ,Ps4 Games Are Too Expensive.I've bought Just Cause 4 For Rs6895.I Was Gonna Buy Red Dead Redemption 2 But It Was More Expensive Rs8895.
Safia Habib, 4 stars ,Good variety of crockery and groceries
It's not good to be a fortunate gamer, 5 stars ,Like it
Hasham Shaikh, 5 stars ,Wonder ful Super mart
Rid Man, 5 stars ,good for shoping house hold n grocery
Galactic Look, 4 stars ,The solution of everything.
bahi log, 5 stars ,Decoration all kinds of experience
Farah Sidd, 4 stars ,Each and everything available..one stop shop.
Nayyar Ilyas, 5 stars ,Nice place
Ahsan siraj, 5 stars ,Good products and almost everything is available .
M. Akram Kiyani, 5 stars ,Excellent place to visit
Nazim Khan, 3 stars ,All brand varity not availablr
Rj Ham, 5 stars ,Nice market.
Ehtasham Ahsan007, 5 stars ,Good
Faisal Haroon, 3 stars ,"Congusted place, over priced items"
shoaib munir, 5 stars ,Loved
Usama Wajhi, 4 stars ,"Good place to shop everyday use items but stay away from those expensive stuff, really not worth it."
Ahmad Siddique, 4 stars ,Good place for shopping
MZ R, 5 stars ,Great place for shopping and very good price
Honey Bunny, 4 stars ,Expensive
AY, 4 stars ,Good place to shop
Iskandar Alex Aslan, 3 stars ,Very expensive
Fida Muhammad, 3 stars ,Nice
Sarah Aazar, 4 stars ,Expensive
WM The Travelers, 5 stars ,Nice place 👍
M Awais, 4 stars ,Good for grocery
Farooq Sarwar, 3 stars ,No new item
Ilyas khan, 3 stars ,Average
Latif Hyder Wadho, 4 stars ,Groceries shop inside centaurs
Muhammad Ayub, 4 stars ,All quality brands available here.
German Teacher, 4 stars ,LOved it...
Muneeb kiyani, 1 star ,Sooper store in Centaurus Mall Islamabad.
abdul jabbar Khan, 4 stars ,Expensive but u can do ur monthly grocery here .
Interesting & Informative Videos, 5 stars ,Best superstore with quality stufd
Mirza Mohsin1p7ì, 5 stars ,Super
arro abdurrehman, 5 stars ,everything is available
haris saeed, 4 stars ,Nice store
Raja Zeeshan, 5 stars ,Imported things available here
Anwar Ulhassan, 4 stars ,All grocery are available under one roof
Hadi Toori, 5 stars ,Nice place
Bilal Ahmad, 5 stars ,Expensive
Raheel Zafar, 5 stars ,hover board 😭❤️☺️👌
Imran Asghar, 5 stars ,Rates are bit hi.. 2-3%
Asim Amjad, 5 stars ,Very nice place
Wasim Malik, 5 stars ,Quality
fajar momal, 5 stars ,Good store to by domestic & imported stuff.
Ahmad Naveed, 4 stars ,Stuffed with all brands
iffi a, 4 stars ,Good food items
M. Asad Sardar, 4 stars ,Very expensive
Zahbia Shafiq, 5 stars ,Nice market
Bilal Ahmad, 5 stars ,Excellent variation
zaheer Afzal Chadhar Advocate, 5 stars ,Quality goods
Arif Shaffi, 3 stars ,Average shopping
sha s, 4 stars ,Nice
Abid Rashid, 5 stars ,Imported items are available here
Muhammad Balar, 1 star ,Very expensive as compare to the market
Aqeel Afzal, 5 stars ,Buy hosehold stuff..
Joy Kaba, 5 stars ,Super
Simi Qureshi, 3 stars ,Quite expensive
Imran Sharif, 3 stars ,Costly
Saad Hamid, 4 stars ,A go to grocery place for many
mavara aziz, 4 stars ,Too might high rated products
Faiza Siraj, 5 stars ,❤️❤️❤️
M Ali A. Sandhu, 5 stars ,Great Shopping Complex
JAMAL HUSSAIN, 5 stars ,Every thing under one roof
ali tayyab, 5 stars ,Lots of variety excellent prices
afzaal mahmood, 3 stars ,Expensive than market
Arooba Malik, 4 stars ,Everything is available
Usman Shahid, 5 stars ,Almost everything here
Joseph John, 5 stars ,Great place for shopping.
Ahsan Sarwar, 3 stars ,it's ok but not as i expected
Farooq Azam, 4 stars ,Variety of shopping under one roof.
Daniya Tariq, 4 stars ,Good place to shop grocery
ijaz lal, 5 stars ,Best place for shopping
abdul salam, 5 stars ,Super in all luxuries of life
irum zahra, 5 stars ,Shopping place
Shuaib Muhammad, 4 stars ,A bit expensive but good Super Store
Abeer Babar, 5 stars ,Best shopping destination for product variety
jahanzeb ahmed, 5 stars ,Good store
Shaoor Fahim, 5 stars ,Very nice.
Ahsan Latif, 5 stars ,You can get everything here.
Dr Ch. Farrukh Javaid, 3 stars ,Nice place to shop
Shahid Waheed, 5 stars ,Good
Syed Shabi-ul-Hassnain Raza, 4 stars ,Good
sana rashid, 4 stars ,Good quality items
Home Grown, 5 stars ,Very convenient
Jaweria Shah, 3 stars ,Much expensive than real rates
Moin Shahzad, 4 stars ,Nice and entertaining place
Farhana Zafar, 4 stars ,Good shopping experience.
Wasi Haider, 5 stars ,Good
Muhammad Saadullah, 4 stars ,Good
Sayyad Rizvi, 3 stars ,nice place but a bit expensive..
Kashif Ilyas, 5 stars ,Useful
Bobby jahazi, 5 stars ,Great
Mohid Videos, 5 stars ,Great services
Umer Siddique, 5 stars ,Good
Exelo gaming, 4 stars ,Sometimes if not aware quality is comprised
Shahrukh Salman, 3 stars ,Although everything is available under one roof but grocery section is congested
Fozi Arif, 4 stars ,Nice
Mahmood Riaz, 2 stars ,Good
Malik Usama Rahim, 3 stars ,Everything you can buy under one roof
Faheem Akhtar, 5 stars ,Wide range of products.
Farrukh Shah, 4 stars ,good quality products and vast variety.
Muneeb Ahmed, 5 stars ,Complete....
M. Hamza, 5 stars ,Great store.
ehtesham nasrullah, 5 stars ,All together
MAK R, 5 stars ,product prices are high
Abdul Wasay Bin Zahid, 5 stars ,Amazing and shop of original products
Numan Anwar, 5 stars ,So so much experience
Naveed Ahmed, 3 stars ,Prices of apparels are much higher than local market
Abdul Azeem Bhatti, 4 stars ,High side rates
Hayat e Quran, 5 stars ,Like
簡簡, 5 stars ,Staff very cooperative
Tuba Zafar, 5 stars ,Loved it
Muhammad Mazhar Saeed, 2 stars ,Rates was too much...
salik javaid, 5 stars ,Best for electronics
Sayed Ali Shah, 3 stars ,Too congested and highly expensive
Jamshid Qazizadah, 5 stars ,Hyper market with a hyper expensive products
Noor ul Khuda, 5 stars ,nice shopping spot
Saharish Nasim, 4 stars ,Good
Tabassum Hayat, 5 stars ,"Huge variety, good quality shopping."
Sabz, 5 stars ,nice bt expensive
Pirzado 1990, 3 stars ,Good
jia mehmood, 4 stars ,Good stuff but highly expensive
Sultan nazar, 4 stars ,Very nice
bubble in, 5 stars ,Little expensive
Nizam Zai, 4 stars ,You can get almost everything.
Imran Safdar, 5 stars ,State of the art Super market
Hina Khan, 5 stars ,Fantastic experience.
Saeed Paracha, 4 stars ,Good place for shopping but little costly.
Samad Hussain, 5 stars ,Best
Farhan Tahir, 5 stars ,Supermarket
Noor Ul Amin Awan, 5 stars ,Ok
Saeed Ullah, 3 stars ,A good but costly shopping store
Afzal M, 4 stars ,Shop within Short    Time....
ZAFAR Khan, 5 stars ,Supermarkets chain good one
H Raja, 5 stars ,Great place
ahmed aroosh, 5 stars ,Good for luxury items shopping
Taste of Pakistan, 5 stars ,Nice shopping centre
Ahsan Zafar, 5 stars ,Expensive but up to the mark shopping mall
SARDAR HAMZA PERVAIZ, 4 stars ,Good Collection of Clothes..
SYED MUNIB AHMED, 4 stars ,Good
Shabtaab Zafar, 5 stars ,Excellent
Tower Alberty shin, 5 stars ,Ok
qasim saeed, 4 stars ,Good place
Asif Qureshi, 5 stars ,Best for shopping
Gul E Yasmin Khan, 5 stars ,Quite a big store.
azmat rasool, 5 stars ,Al fatah is very bast store in Islamabad
Mohammad Shoeb, 5 stars ,Best shopping mall
Sadia Khaf, 4 stars ,"Good one stop shop for a lot of categories, a bit congested though."
MoltyFoam Mattress, 5 stars ,Good grocery store
Muhammad ziaulhaq, 5 stars ,Must visit for shopaholics.
dilawar hussain, 5 stars ,Well stocked.
Zahid Mukhtar, 4 stars ,Nice super markete
Red Kop, 5 stars ,Better than most
Food recipes, 5 stars ,Very  good
Creatik, 5 stars ,Expensive But Quality is Good.
Tulips Shine, 5 stars ,Best grocery store
Humera Nawaz, 5 stars ,All in one place
Dr.Abdul Basit Aziz, 4 stars ,Good Experience
Abdul Basit, 5 stars ,"Cosmetics and electronics are wide range,"
arsln haider, 4 stars ,Good pkace
Muhammad Iqtidar Alam Khan, 5 stars ,Nice
